code,ts_code,name
163402,163402.SZ,兴全趋势投资混合
110011,110011.OF,易方达优质精选混合
007119,007119.OF,睿远成长价值混合A
001938,001938.OF,中欧时代先锋股票A
161005,161005.SZ,富国天惠成长混合A
166002,166002.OF,中欧新蓝筹混合A
519712,519712.OF,交银阿尔法核心混合A
163406,163406.SZ,兴全合润混合
519068,519068.OF,汇添富成长焦点混合
519688,519688.OF,交银精选混合
001714,001714.OF,工银文体产业股票A
519732,519732.OF,交银定期支付双息平衡混合
163411,163411.OF,兴全精选混合
004424,004424.OF,汇添富文体娱乐混合
166005,166005.OF,中欧价值发现混合A
001605,001605.OF,国富沪港深成长精选股票
260104,260104.OF,景顺长城内需增长混合
519002,519002.OF,华安安信消费混合A
004374,004374.OF,华泰保兴吉年丰混合发起A
006179,006179.OF,富国品质生活混合A